year,nace_id,emissions_difference,auctions_difference
2005,84.12,0.0,8508.0
2005,84.22,0.0,199202.0
2005,85.32,0.0,0.0
2005,85.42,0.0,281852.0
2005,86.1,0.0,1337691.0
2005,86.21,0.0,9860.0
2005,86.9,0.0,10714.0
2006,1.13,273787.0,375555.0
2006,1.19,95691.0,114709.0
2006,1.21,65722.0,87443.0
2006,1.63,0.0,1505.0
2006,5.1,16552.0,15551.0
2006,6.1,13964526.0,14931986.0
2006,6.2,1782048.0,1832747.0
2006,7.1,6536817.0,14211971.0
2006,7.21,0.0,48527.0
2006,8.11,1248.0,32200.0
2006,8.12,56741.0,75082.0
2006,8.91,38539.0,132968.0
2006,8.92,49079.0,124847.0
2006,8.93,588671.0,675306.0
2006,8.99,692563.0,820986.0
2006,9.1,19030.0,51557.0
2006,10.11,286475.0,440711.0
2006,10.12,29222.0,48565.0
2006,10.13,116655.0,270613.0
2006,10.2,206308.0,302695.0
2006,10.3,7154.0,7876.0
2006,10.31,464604.0,642933.0
2006,10.32,336792.0,324084.0
2006,10.39,309706.0,716732.0
2006,10.41,1411719.0,2207483.0
2006,10.42,18623.0,20500.0
2006,10.51,2194731.0,3406159.0
2006,10.52,271.0,9757.0
2006,10.61,21562.0,123511.0
2006,10.62,2184886.0,4752068.0
2006,10.71,8368.0,21159.0
2006,10.72,17699.0,29124.0
2006,10.73,7721.0,51458.0
2006,10.8,0.0,0.0
2006,10.81,5311520.0,9959447.0
2006,10.82,85243.0,178783.0
2006,10.83,137559.0,294173.0
2006,10.84,32172.0,39141.0
2006,10.85,44644.0,134402.0
2006,10.86,112327.0,176393.0
2006,10.89,284682.0,646127.0
2006,10.91,183493.0,270120.0
2006,10.92,61858.0,117414.0
2006,11.01,369228.0,513713.0
2006,11.02,4104.0,5844.0
2006,11.04,0.0,10167.0
2006,11.05,816995.0,1291156.0
2006,11.06,202905.0,176371.0
2006,11.07,36112.0,53193.0
2006,12.0,42678.0,130133.0
2006,13.1,116844.0,217828.0
2006,13.2,106931.0,268458.0
2006,13.3,396943.0,798088.0
2006,13.91,45394.0,49972.0
2006,13.92,10675.0,14188.0
2006,13.93,94589.0,124995.0
2006,13.95,68925.0,116776.0
2006,13.96,4757.0,5320.0
2006,13.99,59537.0,109481.0
2006,14.12,340.0,800.0
2006,14.13,14409.0,150265.0
2006,14.14,0.0,5924.0
2006,14.19,0.0,17471.0
2006,14.31,0.0,12486.0
2006,15.11,3902.0,4756.0
2006,16.1,17062.0,12197.0
2006,16.21,1793227.0,2930639.0
2006,16.22,10782.0,78452.0
2006,16.29,39934.0,42949.0
2006,17.11,3021116.0,5245235.0
2006,17.12,18480105.0,31521415.0
2006,17.21,550528.0,833218.0
2006,17.22,267729.0,560761.0
2006,17.23,58499.0,84721.0
2006,17.24,16827.0,15994.0
2006,17.29,11900.0,108014.0
2006,18.11,36857.0,44502.0
2006,18.12,31075.0,51409.0
2006,18.2,2653.0,2506.0
2006,19.1,5894057.0,8752022.0
2006,19.2,103052235.0,149120590.0
2006,20.11,1061068.0,1491208.0
2006,20.12,204008.0,384237.0
2006,20.13,2411365.0,5467105.0
2006,20.14,15595124.0,26228722.0
2006,20.15,3469647.0,5234654.0
2006,20.16,1626028.0,2302968.0
2006,20.17,299145.0,540490.0
2006,20.2,275453.0,214533.0
2006,20.3,302322.0,696201.0
2006,20.41,25139.0,168929.0
2006,20.42,121500.0,126254.0
2006,20.51,74425.0,89730.0
2006,20.52,150041.0,145175.0
2006,20.59,914804.0,1592531.0
2006,20.6,751019.0,1052162.0
2006,21.1,827477.0,1261851.0
2006,21.2,735414.0,1158203.0
2006,22.11,754845.0,1704030.0
2006,22.19,141677.0,157800.0
2006,22.21,154314.0,259271.0
2006,22.22,17932.0,59843.0
2006,22.23,4875.0,6609.0
2006,22.29,50305.0,125226.0
2006,23.11,4849544.0,6964739.0
2006,23.12,26835.0,25254.0
2006,23.13,7795084.0,11702453.0
2006,23.14,1094520.0,1510250.0
2006,23.19,805665.0,1163249.0
2006,23.2,677285.0,978012.0
2006,23.31,669895.0,3228825.0
2006,23.32,8466312.0,12658229.0
2006,23.4,41715.0,69043.0
2006,23.41,1251347.0,1883324.0
2006,23.42,60208.0,122235.0
2006,23.44,10830.0,12216.0
2006,23.49,14455.0,92114.0
2006,23.5,0.0,3600.0
2006,23.51,107721245.0,153998306.0
2006,23.52,18195902.0,31398926.0
2006,23.61,85765.0,107494.0
2006,23.62,43619.0,135889.0
2006,23.63,7253.0,20439.0
2006,23.64,15448.0,49146.0
2006,23.65,30564.0,47274.0
2006,23.91,14673.0,14884.0
2006,23.99,1072835.0,1080856.0
2006,24.1,105732041.0,183800514.0
2006,24.2,15416.0,189940.0
2006,24.31,26990.0,32474.0
2006,24.34,0.0,18792.0
2006,24.42,2054750.0,2376927.0
2006,24.43,122056.0,167137.0
2006,24.44,59097.0,76437.0
2006,24.45,109905.0,111032.0
2006,24.46,692637.0,651754.0
2006,24.51,461369.0,1584045.0
2006,24.52,0.0,172.0
2006,24.53,84957.0,66555.0
2006,25.11,69918.0,68176.0
2006,25.3,4820.0,12547.0
2006,25.4,111658.0,185248.0
2006,25.5,0.0,9242.0
2006,25.61,0.0,0.0
2006,25.62,48700.0,58015.0
2006,25.73,13638.0,22578.0
2006,25.92,0.0,8495.0
2006,25.93,0.0,14845.0
2006,25.99,8680.0,13448.0
2006,26.11,116041.0,226766.0
2006,26.2,12354.0,14070.0
2006,26.3,0.0,5877.0
2006,27.11,4974.0,10361.0
2006,27.32,20008.0,42311.0
2006,27.4,34346.0,52700.0
2006,27.51,29493.0,46867.0
2006,27.9,31784.0,30612.0
2006,28.11,27853.0,89504.0
2006,28.13,9047.0,15962.0
2006,28.14,25900.0,26565.0
2006,28.15,27600.0,306971.0
2006,28.25,0.0,13024.0
2006,28.29,0.0,12836.0
2006,28.3,17475.0,16997.0
2006,28.91,0.0,0.0
2006,28.92,47784.0,90695.0
2006,28.94,11592.0,14064.0
2006,28.95,6605.0,4768.0
2006,28.99,43975.0,93421.0
2006,29.1,899600.0,2204969.0
2006,29.2,39373.0,47089.0
2006,29.32,139209.0,225907.0
2006,30.11,48424.0,253964.0
2006,30.2,93143.0,143959.0
2006,30.3,256716.0,1072382.0
2006,30.4,0.0,0.0
2006,30.91,7714.0,26627.0
2006,31.02,0.0,1035.0
2006,31.03,24006.0,26942.0
2006,31.09,28789.0,22749.0
2006,32.2,0.0,4775.0
2006,32.3,3395.0,13662.0
2006,33.16,12639.0,14237.0
2006,33.17,3563.0,17869.0
2006,33.2,44221.0,47676.0
2006,35.0,31736960.0,30506358.0
2006,35.1,58487037.0,115081677.0
2006,35.11,968685811.0,1002565755.0
2006,35.13,399.0,4805.0
