Date,Time,Price,Coal_price_EU,Ngas_price_EU,Oil_price_EU,HDD,CDD,ESI,IPI
2008-01-01,01/2008,19.1,62.338632966435654,7.270009512161978,62.45444662688545,473.03,0.0,105.2,213.7
2009-01-01,01/2009,11.57,59.97431830198656,10.491728982551551,33.88473449656318,562.94,0.0,71.2,192.3
2010-01-01,01/2010,12.71,67.9652466367713,6.1659192825112115,53.51247197309417,637.25,0.0,93.3,185.1
2011-01-01,01/2011,14.76,99.16167664670657,7.193113772455089,72.0765611633907,541.77,0.0,103.1,177.5
2012-01-01,01/2012,7.84,90.24409143742734,8.87253002712127,86.13420416597444,528.72,0.0,91.2,174.4
2013-01-01,01/2013,3.31,69.81487055990367,8.932871763997591,85.01929286848284,549.66,0.0,87.9,163.2
2014-01-01,01/2014,5.5,59.96326230712711,8.515797207935341,78.92725936811169,511.29,0.0,98.7,150.0
2015-01-01,01/2015,7.08,52.8698046639704,7.959728078478617,41.36477067378023,507.25,0.0,99.5,156.5
2016-01-01,01/2016,6.04,45.13812154696132,4.049895281224677,28.360957642725598,556.34,0.0,105.1,129.6
2017-01-01,01/2017,5.69,78.88637648388921,5.788910170341059,51.71471641228567,583.31,0.0,108.4,126.6
2018-01-01,01/2018,9.85,87.25409836065575,5.460864764868853,56.54918032786885,479.71,0.0,114.9,125.5
2019-01-01,01/2019,23.9,86.33496846531185,6.361548032104065,51.91836019621584,561.65,0.0,107.6,123.2
2020-01-01,01/2020,24.31,62.75675675675675,3.2733192317747744,57.29729729729729,456.86,0.0,105.3,108.0
2021-01-01,01/2021,33.18,71.3417139101142,5.971819693780297,44.81965327417632,540.98,0.0,96.7,102.5
2008-02-01,02/2008,21.31,89.50366151342554,7.350149172769188,64.29120332700705,407.42,0.0,103.5,217.5
2009-02-01,02/2009,9.96,58.959718420023464,8.635119280406727,33.822839264763395,483.25,0.0,68.8,191.5
2010-02-01,02/2010,12.86,68.82215402601197,6.4299283939792495,54.297822592430215,511.0,0.0,93.4,183.3
2011-02-01,02/2011,15.3,94.04351967177084,6.857645248736171,76.16345519818302,502.6,0.0,103.6,179.5
2012-02-01,02/2012,8.34,88.49062310949788,8.408953418027828,90.51904185751663,587.21,0.0,91.7,178.3
2013-02-01,02/2013,4.8,71.06819372707537,8.810539711056215,87.22172318287296,472.51,0.0,88.8,167.9
2014-02-01,02/2014,7.06,55.85737296822376,8.27353931761605,79.6675940840533,382.78,0.0,99.0,141.8
2015-02-01,02/2015,7.1,60.83700440528634,7.286343612334801,51.03964757709251,443.35,0.0,101.3,153.0
2016-02-01,02/2016,4.99,45.31686649238259,3.5773718464617326,29.928783917785996,401.62,0.0,104.3,137.3
2017-02-01,02/2017,5.57,75.14798459081086,5.685975424974162,52.137555200601334,421.08,0.0,108.4,132.9
2018-02-01,02/2018,10.73,85.80336896663428,5.441164371963072,52.980239714933596,523.7,0.0,114.4,122.4
2019-02-01,02/2019,23.13,84.0630781428949,5.290985042903709,56.49722491410448,399.84,0.0,107.3,113.7
2020-02-01,02/2020,24.02,62.02659330582301,2.666459093131591,50.4355800091701,374.8,0.0,105.7,108.6
2021-02-01,02/2021,37.6,71.69780128946933,5.090516751959002,51.21507687221028,443.26,0.0,98.7,98.1
2008-03-01,03/2008,22.27,76.15766084884395,7.110195143942809,66.51478070457912,404.79,0.0,102.7,218.7
2009-03-01,03/2009,11.45,46.74329501915709,8.35249042145594,35.89202368512644,411.54,0.0,67.8,186.0
2010-03-01,03/2010,12.71,69.55191981723046,6.58117768442774,58.42345243474095,432.53,0.01,95.4,180.8
2011-03-01,03/2011,16.88,90.09929280662905,6.693335238231302,81.74962807902708,408.58,0.0,102.9,180.7
2012-03-01,03/2012,6.98,81.4029240209075,9.067494886751003,94.63573696207862,355.9,0.0,92.5,174.1
2013-03-01,03/2013,4.74,70.17895711200246,9.15612465288491,84.26411601357606,496.2,0.0,88.8,168.1
2014-03-01,03/2014,4.64,53.0565000361716,7.87093973811763,77.69659263546264,342.12,0.0,100.0,143.8
