,Unnamed: 0,InVolReg,OutVolReg,InVolFin,OutVolFin,WalletFin,Date,Price,Coal_price_EU,Ngas_price_EU,Oil_price_EU,HDD,IPI,InVolReg_lag2,OutVolReg_lag1,OutVolReg_lag2,InVolFin_lag1,InVolFin_lag2,OutVolFin_lag1,OutVolFin_lag2,WalletReg_lag1,WalletFin_lag1,WalletFin_lag2,Price_lag1,Price_lag2,Coal_price_EU_lag1,Coal_price_EU_lag2,Ngas_price_EU_lag1,Ngas_price_EU_lag2,Oil_price_EU_lag1,Oil_price_EU_lag2,HDD_lag1,CDD_lag2,ESI_lag2,IPI_lag1,IPI_lag2
0,1,1.2419607914529711,1.2856437686439808,0.6931471805599453,4.624972813284271,-1.3998293328043587e-05,2008-02-01,0.0778424867639335,0.2192942622172422,0.0057060968978635,0.0190757785643524,-0.1446190821440414,0.0100876884109553,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.5764653812822509,2.2180535078414145,0.6931471805599453,12.722718300012785,-0.0480704789409784,2008-03-01,0.0320134040427699,-0.1017480158782397,-0.0171833241985188,0.0226165749315532,-0.0062567856874524,0.003164559602963,,1.2856437686439808,,0.6931471805599453,,4.624972813284271,,21.20612095404738,-1.3998293328043587e-05,,0.0778424867639335,,0.2192942622172422,,0.0057060968978635,,0.0190757785643524,,-0.1446190821440414,,,0.0100876884109553,
2,3,1.596434205642769,2.149165773096179,14.584912511793386,15.84975950022141,-1.6402460478417833,2008-04-01,0.0514901900006958,0.0153906295563492,0.0444303805492722,0.0340234662061691,-0.3889330675954854,0.0318721109201005,1.2419607914529711,2.2180535078414145,1.2856437686439808,0.6931471805599453,0.6931471805599453,12.722718300012785,4.624972813284271,21.14656212640604,-0.0480704789409784,-1.3998293328043587e-05,0.0320134040427699,0.0778424867639335,-0.1017480158782397,0.2192942622172422,-0.0171833241985188,0.0057060968978635,0.0226165749315532,0.0190757785643524,-0.0062567856874524,0.0,5.155024196721561,0.003164559602963,0.0100876884109553
3,4,-1.967912113568996,-4.309166692113433,0.6931471805599453,14.07433548945265,-3.968231734897614,2008-05-01,0.0669125711735807,0.0578061561244913,0.0149931327983314,0.0901937432675978,-0.6268409188989805,-0.0672455738926807,0.5764653812822509,2.149165773096179,2.2180535078414145,14.584912511793386,0.6931471805599453,15.84975950022141,12.722718300012785,19.85739321960161,-1.6402460478417833,-0.0480704789409784,0.0514901900006958,0.0320134040427699,0.0153906295563492,-0.1017480158782397,0.0444303805492722,-0.0171833241985188,0.0340234662061691,0.0226165749315532,-0.3889330675954854,0.0,5.150397236471415,0.0318721109201005,0.003164559602963
4,5,-3.7837523070739927,-2.1515222112919457,0.6931471805599453,0.6931471805599453,0.0,2008-06-01,0.0749614187766458,0.1199943293128722,0.0110187971409838,0.0509048225855996,-0.7618858901443977,-0.0041000467440142,1.596434205642769,-4.309166692113433,2.149165773096179,0.6931471805599453,14.584912511793386,14.07433548945265,15.84975950022141,19.94138399320996,-3.968231734897614,-1.6402460478417833,0.0669125711735807,0.0514901900006958,0.0578061561244913,0.0153906295563492,0.0149931327983314,0.0444303805492722,0.0901937432675978,0.0340234662061691,-0.6268409188989805,0.0535407669280298,5.136974216139274,-0.0672455738926807,0.0318721109201005
5,6,4.075464582642773,-0.0902535984839048,0.6931471805599453,0.6931471805599453,0.0,2008-07-01,-0.2002800645883304,0.0728758805590041,0.0646190182674546,-0.0055387229194909,-0.608326539756193,0.0119794517266651,-1.967912113568996,-2.1515222112919457,-4.309166692113433,0.6931471805599453,0.6931471805599453,0.6931471805599453,14.07433548945265,19.93930462354781,0.0,-3.968231734897614,0.0749614187766458,0.0669125711735807,0.1199943293128722,0.0578061561244913,0.0110187971409838,0.0149931327983314,0.0509048225855996,0.0901937432675978,-0.7618858901443977,0.2428532461257725,5.1298987149230735,-0.0041000467440142,-0.0672455738926807
6,7,-3.5277740668572424,-0.3411615487568866,0.6931471805599453,0.6931471805599453,0.0,2008-08-01,0.0984297455953533,-0.0528156006957267,0.0410505708499857,-0.0782300122014714,0.3349888319360672,-0.0138985750024529,-3.7837523070739927,-0.0902535984839048,-2.1515222112919457,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,20.09027796148928,0.0,0.0,-0.2002800645883304,0.0749614187766458,0.0728758805590041,0.1199943293128722,0.0646190182674546,0.0110187971409838,-0.0055387229194909,0.0509048225855996,-0.608326539756193,1.7244910791660095,5.104732617475372,0.0119794517266651,-0.0041000467440142
7,8,-0.3456705841546075,2.230079962926089,0.6931471805599453,0.6931471805599453,0.0,2008-09-01,-0.0888917683379588,-0.0090202136907047,0.0332641170327421,-0.0672265995777765,1.0480577185991446,0.0149805334526051,4.075464582642773,-0.3411615487568866,-0.0902535984839048,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,20.09183363695745,0.0,0.0,0.0984297455953533,-0.2002800645883304,-0.0528156006957267,0.0728758805590041,0.0410505708499857,0.0646190182674546,-0.0782300122014714,-0.0055387229194909,0.3349888319360672,0.5355667247312841,5.085742766583061,-0.0138985750024529,0.0119794517266651
8,9,5.70912492199947,3.0021323304318663,0.6931471805599453,0.6931471805599453,0.0,2008-10-01,-0.1558979774215285,-0.1655742841479295,0.0908257615997647,-0.1508689788306529,0.4312837665730402,-0.0155295315449004,-3.5277740668572424,2.230079962926089,-0.3411615487568866,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,20.06784892476316,0.0,0.0,-0.0888917683379588,0.0984297455953533,-0.0090202136907047,-0.0528156006957267,0.0332641170327421,0.0410505708499857,-0.0672265995777765,-0.0782300122014714,1.0480577185991446,0.1749893369416892,5.0701612734102826,0.0149805334526051,-0.0138985750024529
9,10,-0.3345797366917082,-1.024704032050714,13.976976132878852,12.245302974021843,3.6824838656089582,2008-11-01,-0.0971481340665509,-0.0688200445752942,0.0243043156345521,-0.1587970427889784,0.4970101101624706,-0.032936273231483,-0.3456705841546075,3.0021323304318663,2.230079962926089,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,20.38155852700969,0.0,0.0,-0.1558979774215285,-0.0888917683379588,-0.1655742841479295,-0.0090202136907047,0.0908257615997647,0.0332641170327421,-0.1508689788306529,-0.0672265995777765,0.4312837665730402,-1.2196160703256855,5.067015627532364,-0.0155295315449004,0.0149805334526051
