,Unnamed: 0,InVolReg,OutVolReg,TVolFin,WalletReg,WalletFin,Date,Price,Coal_price_EU,Ngas_price_EU,Oil_price_EU,HDD,CDD,ESI,IPI,InVolReg_lag1,InVolReg_lag2,OutVolReg_lag1,OutVolReg_lag2,OutVolFin_lag2,TVolFin_lag1,WalletReg_lag1,WalletReg_lag2,Price_lag1,Price_lag2,Coal_price_EU_lag1,Coal_price_EU_lag2,Ngas_price_EU_lag1,Ngas_price_EU_lag2,Oil_price_EU_lag1,Oil_price_EU_lag2,HDD_lag2,CDD_lag1,CDD_lag2,ESI_lag1,ESI_lag2,IPI_lag1,IPI_lag2
0,2,1.2601128705163411,1.36875902675839,5.8522024797744745,20.36036126050662,15.215459765875808,2013-03-01,-0.0060975798681188,-0.0077315551565586,0.0278083692638362,-0.0270783631441613,0.0479127499287397,0.0,-0.006083154953405,0.0007800312407981,,,,,,,,,,,,,,,,,,,,,,,
1,3,1.0416309057565414,1.936594892293524,9.781545881730883,19.680011207732857,15.211084728158138,2013-04-01,-0.1866120935628226,-0.0247966035850826,0.0564505276981681,-0.0503120997304211,-0.5565447550012639,0.0295588022415445,-0.0054054185669079,0.0069930354909706,1.2601128705163411,,1.36875902675839,,,5.8522024797744745,20.36036126050662,,-0.0060975798681188,,-0.0077315551565586,,0.0278083692638362,,-0.0270783631441613,,,0.0,,-0.006083154953405,,0.0007800312407981,
2,4,-3.045718578980756,-2.231369636405663,0.6931471805599453,19.535275352217223,15.211084728158138,2013-05-01,0.098209702299659,0.0016970758151177,-0.032082723023354,0.0037443098784875,-0.639128920096554,0.1692920565036206,0.0094622192625228,0.0134591533740051,1.0416309057565414,1.2601128705163411,1.936594892293524,1.36875902675839,0.6931471805599453,9.781545881730883,19.680011207732857,20.36036126050662,-0.1866120935628226,-0.0060975798681188,-0.0247966035850826,-0.0077315551565586,0.0564505276981681,0.0278083692638362,-0.0503120997304211,-0.0270783631441613,0.0479127499287397,0.0295588022415445,0.0,-0.0054054185669079,-0.006083154953405,0.0069930354909706,0.0007800312407981
3,5,-0.3435754609410981,-2.181816094469509,0.6931471805599453,19.53269779269701,15.211084728158138,2013-06-01,0.0296236692102258,-0.043987502639923,-0.0337995275706419,-0.0115650576173065,-0.8774291379033299,1.778696375253331,0.0053455519827751,-0.0282800174852226,-3.045718578980756,1.0416309057565414,-2.231369636405663,1.936594892293524,9.781545881730883,0.6931471805599453,19.535275352217223,19.680011207732857,0.098209702299659,-0.1866120935628226,0.0016970758151177,-0.0247966035850826,-0.032082723023354,0.0564505276981681,0.0037443098784875,-0.0503120997304211,-0.5565447550012639,0.1692920565036206,0.0295588022415445,0.0094622192625228,-0.0054054185669079,0.0134591533740051,0.0069930354909706
4,6,0.0432102118852224,3.894461050518375,0.6931471805599453,14.963205349019216,15.211084728158138,2013-07-01,0.0139562114937992,-0.0349360531000728,-0.0136582954869823,0.0402255824851751,-0.8099103283155831,0.8533103963652615,-0.0040690067030277,-0.0047262789829476,-0.3435754609410981,-3.045718578980756,-2.181816094469509,-2.231369636405663,0.6931471805599453,0.6931471805599453,19.53269779269701,19.535275352217223,0.0296236692102258,0.098209702299659,-0.043987502639923,0.0016970758151177,-0.0337995275706419,-0.032082723023354,-0.0115650576173065,0.0037443098784875,-0.639128920096554,1.778696375253331,0.1692920565036206,0.0053455519827751,0.0094622192625228,-0.0282800174852226,0.0134591533740051
5,7,-0.184554125811692,-3.878640933507168,0.6931471805599453,14.222055083292002,15.211084728158138,2013-08-01,0.0252645016594819,-0.0121116807994932,-0.0100555718323795,0.009568228823106,0.2291943683400745,0.084748598710949,0.0091883613592544,0.0156681622800691,0.0432102118852224,-0.3435754609410981,3.894461050518375,-2.181816094469509,0.6931471805599453,0.6931471805599453,14.963205349019216,19.53269779269701,0.0139562114937992,0.0296236692102258,-0.0349360531000728,-0.043987502639923,-0.0136582954869823,-0.0337995275706419,0.0402255824851751,-0.0115650576173065,-0.8774291379033299,0.8533103963652615,1.778696375253331,-0.0040690067030277,0.0053455519827751,-0.0047262789829476,-0.0282800174852226
6,8,0.1080339344891818,0.0652093343815103,9.83037908071549,0.6931471805599453,15.2064700205573,2013-09-01,0.0477005696879024,0.0031670881657488,-0.0263550569296913,0.0023814645841468,1.146011929562894,-1.668573935288323,0.0030169039696685,0.0019413712173887,-0.184554125811692,0.0432102118852224,-3.878640933507168,3.894461050518375,0.6931471805599453,0.6931471805599453,14.222055083292002,14.963205349019216,0.0252645016594819,0.0139562114937992,-0.0121116807994932,-0.0349360531000728,-0.0100555718323795,-0.0136582954869823,0.009568228823106,0.0402255824851751,-0.8099103283155831,0.084748598710949,0.8533103963652615,0.0091883613592544,-0.0040690067030277,0.0156681622800691,-0.0047262789829476
7,9,0.482081048630981,0.1276545385410603,0.6931471805599453,13.86865598609271,15.2064700205573,2013-10-01,-0.022044980920127,0.0009381776778312,-0.007557717313567,-0.0315986956817306,0.6253863950355143,-1.094311206768719,-0.0175386113042854,-0.0423909775105233,0.1080339344891818,-0.184554125811692,0.0652093343815103,-3.878640933507168,0.6931471805599453,9.83037908071549,0.6931471805599453,14.222055083292002,0.0477005696879024,0.0252645016594819,0.0031670881657488,-0.0121116807994932,-0.0263550569296913,-0.0100555718323795,0.0023814645841468,0.009568228823106,0.2291943683400745,-1.668573935288323,0.084748598710949,0.0030169039696685,0.0091883613592544,0.0019413712173887,0.0156681622800691
8,10,0.0565771168318036,-0.0823136889284477,0.6931471805599453,14.99291985566852,15.2064700205573,2013-11-01,-0.0456037568000242,0.0261180548117856,0.0105364032462822,-0.0018752982175902,0.5683928056055745,-0.1477335455066248,0.0076972798255656,0.0156598261372193,0.482081048630981,0.1080339344891818,0.1276545385410603,0.0652093343815103,9.83037908071549,0.6931471805599453,13.86865598609271,0.6931471805599453,-0.022044980920127,0.0477005696879024,0.0009381776778312,0.0031670881657488,-0.007557717313567,-0.0263550569296913,-0.0315986956817306,0.0023814645841468,1.146011929562894,-1.094311206768719,-1.668573935288323,-0.0175386113042854,0.0030169039696685,-0.0423909775105233,0.0019413712173887
9,11,2.6126317383447635,0.993551324594792,9.66459564425378,18.56004943510135,15.2064700205573,2013-12-01,0.048638660495178,0.0055349659940171,-0.0029814485790966,0.0063742699690196,0.2409187247891369,-0.004987541511039,-0.0025984797415405,-0.0315687890397713,0.0565771168318036,0.482081048630981,-0.0823136889284477,0.1276545385410603,0.6931471805599453,0.6931471805599453,14.99291985566852,13.86865598609271,-0.0456037568000242,-0.022044980920127,0.0261180548117856,0.0009381776778312,0.0105364032462822,-0.007557717313567,-0.0018752982175902,-0.0315986956817306,0.6253863950355143,-0.1477335455066248,-1.094311206768719,0.0076972798255656,-0.0175386113042854,0.0156598261372193,-0.0423909775105233
