,Unnamed: 0.1,Unnamed: 0,InVolReg,OutVolReg,InVolFin,OutVolFin,WalletFin,Date,Price,Coal_price_EU,Ngas_price_EU,Oil_price_EU,HDD,CDD,IPI,InVolReg_lag1,InVolReg_lag2,OutVolReg_lag1,OutVolReg_lag2,InVolFin_lag1,InVolFin_lag2,OutVolFin_lag1,OutVolFin_lag2,WalletFin_lag2,Price_lag1,Price_lag2,Coal_price_EU_lag1,Coal_price_EU_lag2,Ngas_price_EU_lag1,Ngas_price_EU_lag2,Oil_price_EU_lag1,Oil_price_EU_lag2,HDD_lag2,CDD_lag1,CDD_lag2,IPI_lag1,IPI_lag2
0,0,45,2.3731555894488974,1.2500182981900387,2.675648408549238,13.279172235429147,14.23783081656859,2011-12-01,-0.087066308462631,0.0053977935678384,0.0260559326317477,0.0031653895469245,0.2120630750565366,0.0,-0.0110862558671218,0.6312241679298491,-0.4927975432792344,0.8688619751227016,-0.2209233422881364,8.901162239179515,-9.430760217368796,13.16428237000211,0.6931471805599453,14.692608384298511,-0.1016072574229123,-0.0290499179593268,-0.0236968367926291,-0.0166950921769739,0.0012223891893601,0.0305050495841112,0.0145028990086082,-0.0057741297923321,1.0491850554753466,-0.300104592450338,-1.5332765514685365,-0.0077174618714295,-0.0017725263134185
1,1,46,-1.8431229961071605,-1.8446104362833944,-2.6810440436726672,10.72392795875345,14.217415335611015,2012-01-01,0.0557658090779273,0.0411714430993681,0.0079615513075528,0.0363921841948888,0.18359686501267,0.0,0.0107882376858077,2.3731555894488974,0.6312241679298491,1.2500182981900387,0.8688619751227016,2.675648408549238,8.901162239179515,13.279172235429147,13.16428237000211,14.455883874950624,-0.087066308462631,-0.1016072574229123,0.0053977935678384,-0.0236968367926291,0.0260559326317477,0.0012223891893601,0.0031653895469245,0.0145028990086082,0.430702953296155,0.0,-0.300104592450338,-0.0110862558671218,-0.0077174618714295
2,2,47,3.933585367387492,1.0316618591823945,4.5821374742765055,9.420520256898534,14.8834168733083,2012-02-01,0.0306960871571768,-0.0127233339734464,-0.0301530838880386,0.0361693134933371,0.1023077540445784,0.0,0.0115573963883894,-1.8431229961071605,2.3731555894488974,-1.8446104362833944,1.2500182981900387,-2.6810440436726672,2.675648408549238,10.72392795875345,13.279172235429147,14.23783081656859,0.0557658090779273,-0.087066308462631,0.0411714430993681,0.0053977935678384,0.0079615513075528,0.0260559326317477,0.0363921841948888,0.0031653895469245,0.2120630750565366,0.0,0.0,0.0107882376858077,-0.0110862558671218
3,3,48,-1.8223278135696432,1.4257270702428286,-4.089124676826678,11.85489683929372,14.842418087012868,2012-03-01,-0.0858029176280612,-0.0531451017344979,0.0425677986697823,0.0328066364801387,-0.4854620939904794,0.0,-0.0124519841921983,3.933585367387492,-1.8431229961071605,1.0316618591823945,-1.8446104362833944,4.5821374742765055,-2.6810440436726672,9.420520256898534,10.72392795875345,14.217415335611015,0.0306960871571768,0.0557658090779273,-0.0127233339734464,0.0411714430993681,-0.0301530838880386,0.0079615513075528,0.0361693134933371,0.0363921841948888,0.18359686501267,0.0,0.0,0.0115573963883894,0.0107882376858077
4,4,49,0.103015075138007,1.4507430246741535,0.6957163457416407,13.382162817057358,14.60033359489569,2012-04-01,0.0324072429547777,-0.0210047847419572,-0.0250550675706771,-0.0247004754125041,-0.2086998168796938,0.0,0.0083185268750911,-1.8223278135696432,3.933585367387492,1.4257270702428286,1.0316618591823945,-4.089124676826678,4.5821374742765055,11.85489683929372,9.420520256898534,14.8834168733083,-0.0858029176280612,0.0306960871571768,-0.0531451017344979,-0.0127233339734464,0.0425677986697823,-0.0301530838880386,0.0328066364801387,0.0361693134933371,0.1023077540445784,0.0,0.0,-0.0124519841921983,0.0115573963883894
5,5,50,-2.0510924900980854,-2.983260133212383,-10.084495747247551,9.202509792860994,14.595797815564977,2012-05-01,-0.0803084742788691,-0.030115962998245,0.0272092278991826,-0.0418829825867774,-0.7060116795829305,0.6754922453212245,0.0094229201345052,0.103015075138007,-1.8223278135696432,1.4507430246741535,1.4257270702428286,0.6957163457416407,-4.089124676826678,13.382162817057358,11.85489683929372,14.842418087012868,0.0324072429547777,-0.0858029176280612,-0.0210047847419572,-0.0531451017344979,-0.0250550675706771,0.0425677986697823,-0.0247004754125041,0.0328066364801387,-0.4854620939904794,0.0,0.0,0.0083185268750911,-0.0124519841921983
6,6,51,-0.0312172262772705,-1.3822881005454573,0.0,0.6931471805599453,14.595797815564977,2012-06-01,0.1252037941867603,-0.0441125708015439,0.0044953256309625,-0.0884945752863739,-0.5989349616644271,1.675406707951372,-0.0315596302306007,-2.0510924900980854,0.103015075138007,-2.983260133212383,1.4507430246741535,-10.084495747247551,0.6957163457416407,9.202509792860994,13.382162817057358,14.60033359489569,-0.0803084742788691,0.0324072429547777,-0.030115962998245,-0.0210047847419572,0.0272092278991826,-0.0250550675706771,-0.0418829825867774,-0.0247004754125041,-0.2086998168796938,0.6754922453212245,0.0,0.0094229201345052,0.0083185268750911
7,7,52,-0.2439264111689585,0.7978168590496981,0.0,0.6931471805599453,14.595797815564977,2012-07-01,-0.0839119722503429,0.0184858549583903,-0.0072747723035644,0.0674676583890869,-0.707363378939077,0.7360442003347787,-0.014318599543408,-0.0312172262772705,-2.0510924900980854,-1.3822881005454573,-2.983260133212383,0.0,-10.084495747247551,0.6931471805599453,9.202509792860994,14.595797815564977,0.1252037941867603,-0.0803084742788691,-0.0441125708015439,-0.030115962998245,0.0044953256309625,0.0272092278991826,-0.0884945752863739,-0.0418829825867774,-0.7060116795829305,1.675406707951372,0.6754922453212245,-0.0315596302306007,0.0094229201345052
8,8,53,1.7538552769202216,-0.4330061828578166,0.0,0.6931471805599453,14.595797815564977,2012-08-01,0.0734920189466898,0.0130297169090898,-0.0026305960114938,0.0619412719023797,0.1557856544228526,0.0692058413525207,0.0070325928124752,-0.2439264111689585,-0.0312172262772705,0.7978168590496981,-1.3822881005454573,0.0,0.0,0.6931471805599453,0.6931471805599453,14.595797815564977,-0.0839119722503429,0.1252037941867603,0.0184858549583903,-0.0441125708015439,-0.0072747723035644,0.0044953256309625,0.0674676583890869,-0.0884945752863739,-0.5989349616644271,0.7360442003347787,1.675406707951372,-0.014318599543408,-0.0315596302306007
9,9,54,-1.726679807064226,0.5782918911777237,0.0,0.6931471805599453,14.595797815564977,2012-09-01,-0.0061804893893824,-0.0349941361740384,-0.0255665084181728,-0.0261512360678208,0.8773137563274687,-1.6986974395236771,-0.0051932299395049,1.7538552769202216,-0.2439264111689585,-0.4330061828578166,0.7978168590496981,0.0,0.0,0.6931471805599453,0.6931471805599453,14.595797815564977,0.0734920189466898,-0.0839119722503429,0.0130297169090898,0.0184858549583903,-0.0026305960114938,-0.0072747723035644,0.0619412719023797,0.0674676583890869,-0.707363378939077,0.0692058413525207,0.7360442003347787,0.0070325928124752,-0.014318599543408
