,Unnamed: 0,month,InVolReg,OutVolReg,InVolFin,OutVolFin,TVolFin,TVolReg,WalletReg,WalletFin,Date,Time,Price,Coal_price_EU,Ngas_price_EU,Oil_price_EU,HDD,CDD,ESI,IPI
0,35,2008-01-01,12787890.0,4544600.0,108607.0,0.0,108607.0,17332490.0,1382929019.0,7131295.0,2008-01-01,01/2008,19.1,62.33863296643565,7.270009512161978,62.45444662688545,473.03,0.0,105.2,213.7
1,36,2008-02-01,45875465.0,18451556.0,0.0,100.0,100.0,64327021.0,1410352928.0,7131195.0,2008-02-01,02/2008,21.31,89.50366151342554,7.350149172769188,64.29120332700705,407.42,0.0,103.5,217.5
2,37,2008-03-01,82152494.0,175860912.0,0.0,335277.0,335277.0,258013406.0,1316644510.0,6795918.0,2008-03-01,03/2008,22.27,76.15766084884395,7.110195143942809,66.51478070457912,404.79,0.0,102.7,218.7
3,38,2008-04-01,408010702.0,1514313065.0,2158473.0,7646505.0,9804978.0,1922323767.0,210342147.0,1307886.0,2008-04-01,04/2008,23.88,78.09027998222335,7.739191162465875,69.95602010839312,269.77,0.11,100.4,231.0
4,39,2008-05-01,56460290.0,19600412.0,0.0,1295405.0,1295405.0,76060702.0,247202025.0,12481.0,2008-05-01,05/2008,26.1,85.62062094234106,7.957832486983351,79.6658677612586,137.5,0.69,99.2,205.5
5,40,2008-06-01,649255.0,1599670.0,0.0,0.0,0.0,2248925.0,246251610.0,12481.0,2008-06-01,06/2008,28.77,102.71330289976213,8.120619816112647,85.54527835695365,56.59,13.09,95.0,204.0
6,41,2008-07-01,75804309.0,1395210.0,0.0,0.0,0.0,77199519.0,320660709.0,12481.0,2008-07-01,07/2008,22.06,114.140773620799,9.112238427393786,84.89095971988586,24.31,23.78,91.9,208.4
7,42,2008-08-01,1596201.0,769490.0,0.0,0.0,0.0,2365691.0,321487420.0,12481.0,2008-08-01,08/2008,25.19,105.7762938230384,9.776293823038396,76.02607520470784,39.65,28.71,89.4,203.3
8,43,2008-09-01,939956.0,13543979.0,0.0,0.0,0.0,14483935.0,308883397.0,12481.0,2008-09-01,09/2008,22.35,104.39139814879252,10.33474841673046,68.94292637559329,139.46,7.07,88.9,208.8
9,44,2008-10-01,478668545.0,287337944.0,0.0,0.0,0.0,766006489.0,500213998.0,12481.0,2008-10-01,10/2008,17.94,81.06890857228645,11.95766401441225,54.67843318994896,222.34,0.04,82.8,203.1
